"","x"
"136",0.634127300267237
"137",0.640282265633202
"138",0.656600576776229
"139",0.644932676853943
"140",0.64554908218017
"141",0.614458072224138
"142",0.647438450110703
"143",0.639619927729804
"144",0.620720021803747
"145",0.622020429824054
"146",0.639662513416441
"147",0.617574779364242
"148",0.598354803649601
"149",0.658417865359042
"150",0.606286252702417
"151",0.625409084953024
"152",0.63000505456344
"153",0.601767990765958
"154",0.65474106259604
"155",0.591703835656844
"156",0.640250918302828
"157",0.60697397995472
"158",0.649501341264534
"159",0.606371019511672
"160",0.635164760667816
"161",0.619375248342362
"162",0.627068766384007
"163",0.643962961162629
"164",0.628789305261553
"165",0.628876498310304
"166",0.630842715349958
"167",0.598334888219939
"168",0.60670603204308
"169",0.669230347437729
"170",0.663606782007763
"171",0.631358774085226
"172",0.612545776275044
"173",0.611668148511196
"174",0.642718815531729
"175",0.626600898057716
"176",0.60095395709627
"177",0.626603212670318
"178",0.619525062227886
"179",0.656941745918397
"180",0.624923626637659
"181",0.699996287286127
"182",0.633903701710388
"183",0.642166153776677
"184",0.645023214969518
"185",0.61567983617033
"186",0.662079025489239
"187",0.648392391164827
"188",0.637981286015627
"189",0.658385967409913
"190",0.626245988804116
"191",0.633012921459756
"192",0.614704690197552
"193",0.627760877226712
"194",0.656015709571642
"195",0.627584363784748
"196",0.637684415024757
"197",0.64718717091733
"198",0.629041187585084
"199",0.637238543518336
"200",0.609092304606809
"201",0.645582955592506
"202",0.660179306851477
"203",0.616424013355558
"204",0.612935916982796
"205",0.639877981443973
"206",0.631464831353034
"207",0.623673127035952
"208",0.626635182442014
"209",0.617355337173293
"210",0.696721750296006
"211",0.609455624730362
"212",0.628307422811525
"213",0.644293715867198
"214",0.62185747878481
"215",0.630579071741921
"216",0.621058514489142
"217",0.633596699069525
"218",0.638284914455508
"219",0.635429792167349
"220",0.623723928532994
"221",0.636257386861761
"222",0.637662029534304
"223",0.632816471060708
"224",0.654494579917906
"225",0.622092775864509
"226",0.636070934950431
"227",0.610778550872371
"228",0.627558934989526
"229",0.637279480414055
"230",0.649521587133663
"231",0.617907955450152
"232",0.643807933016822
"233",0.644726014948402
"234",0.63757418415319
"235",0.591326694721952
